name,file,result,python_modules,duration,passed
00056d4304c58a035c87cdf5ff1e5e3e,output_data_2.7.yml,success,peewee;scrapy,19.820,True
000eccf3d66540d75def,output_data_3.7.yml,success,,0.000,True
00135b0dfee0ae165ad2,output_data_3.8.yml,failed,maya;pyqt4;sip,43.850,False
005bbad123ef309a5bef,output_data_2.7.yml,success,mysqlclient;python-memcached;redis;requests;sqlalchemy,37.550,True
005ceac0483fc5a581cc,output_data_2.7.yml,failed,Image;input_data;tensorflow;util,47.450,False
00a17b1d374dfc267a9a,output_data_2.7.yml,success,pandas;pymc3;scipy;tensorflow;theano,130.870,True
00a4835bf36513ca58a3,output_data_2.7.yml,failed,,95.850,False
00e9638c0efad1adac878522cf172484,output_data_3.8.yml,failed,gym;keras;tensorflow,398.910,False
011004bcac763eaf6f28,output_data_3.8.yml,success,python-xmp-toolkit,31.300,True
0115e0ce312f26ff59f4fbf4f5821ca2,output_data_2.7.yml,success,RPi.GPIO,14.230,True
015e2ce27cecdea63564,output_data_3.8.yml,failed,pymongo,124.010,False
01886b6f79ba0c4dce66,output_data_2.7.yml,success,django,15.050,True
0191e14717af68bbba81,output_data_2.7.yml,success,pyspark,39.620,True
019fd5c706e0bc94879f,output_data_2.7.yml,success,rx;twisted,70.630,True
01b8b8e1909ae0f601c85e142f2bd15b,output_data_2.7.yml,failed,codecs;pushbullet;weibo;xtls,46.300,False
01bf3900d3a02c4e3927b2a2bcf39100,output_data_2.7.yml,failed,OpenDirectory;SystemConfiguration,30.700,False
01c99322cf985e771827,output_data_3.8.yml,failed,corefoundation;foundation;plistlib,38.830,False
026a4d6400b1efac9a13a3296f16e655,output_data_2.7.yml,success,gensim;tensorflow,25.990,True
02ff378b3a91de94306a84d3aa2228bb,output_data_3.8.yml,success,azure,42.510,True
0306734dfe17076dfd34e09660c198c0,output_data_3.8.yml,success,fiona;geojson;pandas;shapely,37.130,True
034e799c19eb763fa859,output_data_2.7.yml,success,django,14.980,True
035dc3b722b7f89cce66520dde285c9a,output_data_2.7.yml,failed,pyeclib;swift,33.370,False
037e4134d8271c0de71b838a461e7ac1,output_data_2.7.yml,failed,cookielib;pillow;requests,52.160,False
03d9c46c86691c9bb680,output_data_2.7.yml,success,django;psycopg2;psycopg2-binary;uuid,29.800,True
